unitid,"xgrcohrt",grcohrt,"xugenter",ugentern,"xpgrcohr",pgrcohrt,"xrrftct",rrftct,"xrrftex",rrftex,"xrrftcta",rrftcta,"xret_nmf",ret_nmf,"xret_pcf",ret_pcf,"xrrptct",rrptct,"xrrptex",rrptex,"xrrptcta",rrptcta,"xret_nmp",ret_nmp,"xret_pcp",ret_pcp
219347,"R",314,"R",451,"R",70,"R",344,"R",0,"R",344,"R",260,"R",76,"R",5,"R",0,"R",5,"R",5,"R",100
219356,"R",2009,"R",3290,"R",61,"R",1857,"R",1,"R",1856,"R",1431,"R",77,"R",68,"R",0,"R",68,"R",34,"R",50
219374,"R",95,"R",188,"R",51,"R",47,"R",0,"R",47,"R",47,"R",100,"R",99,"R",0,"R",99,"R",83,"R",84
219383,"R",350,"R",402,"R",87,"R",257,"Z",0,"R",257,"R",176,"R",68,"R",3,"Z",0,"R",3,"R",2,"R",67
219392,"A",,"A",,"A",,"R",13,"R",0,"R",13,"R",13,"R",100,"R",0,"R",0,"R",0,"R",0,"A",
219408,"R",49,"R",67,"R",73,"R",42,"R",0,"R",42,"R",22,"R",52,"R",6,"R",0,"R",6,"R",2,"R",33
219426,"R",542,"R",997,"R",54,"R",578,"R",0,"R",578,"R",326,"R",56,"R",64,"R",0,"R",64,"R",32,"R",50
219453,"A",,"A",,"A",,"R",63,"R",0,"R",63,"R",57,"R",90,"R",0,"R",0,"R",0,"R",0,"A",
219471,"R",1020,"R",1754,"R",58,"R",934,"R",0,"R",934,"R",711,"R",76,"R",74,"R",0,"R",74,"R",27,"R",36
219480,"R",307,"R",412,"R",75,"R",519,"Z",0,"R",519,"R",297,"R",57,"R",56,"Z",0,"R",56,"R",27,"R",48
219505,"R",10,"R",28,"R",36,"R",15,"R",0,"R",15,"R",15,"R",100,"R",5,"R",0,"R",5,"R",5,"R",100
219578,"R",36,"R",232,"R",16,"R",27,"R",0,"R",27,"R",16,"R",59,"R",14,"R",0,"R",14,"R",5,"R",36
219587,"A",,"A",,"A",,"R",19,"R",0,"R",19,"R",15,"R",79,"R",0,"Z",0,"R",0,"R",0,"A",
219596,"A",,"A",,"A",,"R",116,"R",1,"R",115,"R",115,"R",100,"R",10,"R",0,"R",10,"R",10,"R",100
219602,"R",1326,"R",2229,"R",59,"R",1188,"R",0,"R",1188,"R",803,"R",68,"R",168,"R",0,"R",168,"R",70,"R",42
219639,"R",51,"R",244,"R",21,"R",49,"R",0,"R",49,"R",30,"R",61,"Z",0,"Z",0,"Z",0,"Z",0,"A",
219709,"R",932,"R",1327,"R",70,"R",804,"R",1,"R",803,"R",648,"R",81,"R",0,"R",0,"R",0,"R",0,"A",
219718,"R",259,"R",316,"R",82,"R",253,"R",0,"R",253,"R",157,"R",62,"R",1,"R",0,"R",1,"R",0,"R",0
219790,"R",213,"R",245,"R",87,"R",234,"Z",0,"R",234,"R",181,"R",77,"Z",0,"Z",0,"Z",0,"Z",0,"A",
219806,"R",444,"R",567,"R",78,"R",434,"R",0,"R",434,"R",290,"R",67,"R",2,"R",0,"R",2,"R",1,"R",50
219824,"R",1059,"R",2323,"R",46,"R",1012,"R",27,"R",985,"R",521,"R",53,"R",342,"R",0,"R",342,"R",152,"R",44
219833,"R",306,"R",407,"R",75,"R",321,"R",0,"R",321,"R",259,"R",81,"R",0,"R",0,"R",0,"R",0,"A",
219879,"R",546,"R",938,"R",58,"R",481,"Z",0,"R",481,"R",269,"R",56,"R",90,"Z",0,"R",90,"R",41,"R",46
219888,"R",685,"R",2103,"R",33,"R",805,"R",0,"R",805,"R",433,"R",54,"R",236,"R",0,"R",236,"R",105,"R",44
219903,"A",,"A",,"A",,"R",419,"Z",0,"R",419,"R",267,"R",64,"Z",0,"Z",0,"Z",0,"Z",0,"A",
219921,"A",,"A",,"A",,"R",70,"R",0,"R",70,"R",61,"R",87,"R",36,"R",0,"R",36,"R",18,"R",50
219949,"R",195,"R",388,"R",50,"R",210,"R",0,"R",210,"R",116,"R",55,"R",2,"R",0,"R",2,"R",1,"R",50
219976,"R",658,"R",766,"R",86,"R",573,"R",0,"R",573,"R",445,"R",78,"R",3,"R",0,"R",3,"R",1,"R",33
219994,"A",,"A",,"A",,"R",272,"R",2,"R",270,"R",177,"R",66,"R",31,"R",0,"R",31,"R",23,"R",74
220002,"R",98,"R",139,"R",71,"R",92,"R",4,"R",88,"R",63,"R",72,"R",136,"Z",0,"R",136,"R",36,"R",26
220057,"R",529,"R",1377,"R",38,"R",503,"R",0,"R",503,"R",243,"R",48,"R",82,"R",0,"R",82,"R",44,"R",54
220075,"R",1940,"R",3087,"R",63,"R",1921,"R",0,"R",1921,"R",1295,"R",67,"R",18,"R",0,"R",18,"R",12,"R",67
220118,"R",46,"R",47,"R",98,"R",31,"R",5,"R",26,"R",22,"R",85,"Z",0,"Z",0,"Z",0,"Z",0,"A",
220127,"A",,"A",,"A",,"R",187,"Z",0,"R",187,"R",147,"R",79,"R",64,"Z",0,"R",64,"R",21,"R",33
220163,"A",,"A",,"A",,"R",13,"R",0,"R",13,"R",10,"R",77,"R",8,"Z",0,"R",8,"R",5,"R",63
220181,"R",113,"R",120,"R",94,"R",170,"Z",0,"R",170,"R",127,"R",75,"R",2,"Z",0,"R",2,"R",0,"R",0
220206,"R",64,"R",97,"R",66,"R",59,"R",0,"R",59,"R",34,"R",58,"R",3,"R",0,"R",3,"R",3,"R",100
220215,"R",405,"R",543,"R",75,"R",385,"R",0,"R",385,"R",288,"R",75,"R",1,"R",0,"R",1,"R",1,"R",100
220251,"A",,"A",,"A",,"R",103,"R",1,"R",102,"R",79,"R",77,"R",0,"R",0,"R",0,"R",0,"A",
220279,"A",,"A",,"A",,"R",92,"Z",0,"R",92,"R",22,"R",24,"R",4,"Z",0,"R",4,"R",3,"R",75
220312,"R",51,"R",62,"R",82,"R",189,"R",0,"R",189,"R",81,"R",43,"R",18,"R",0,"R",18,"R",12,"R",67
220321,"A",,"A",,"A",,"R",148,"R",0,"R",148,"R",122,"R",82,"R",37,"R",0,"R",37,"R",26,"R",70
220394,"A",,"A",,"A",,"R",83,"Z",0,"R",83,"R",65,"R",78,"R",8,"R",0,"R",8,"R",6,"R",75
220400,"R",765,"R",1284,"R",60,"R",842,"Z",0,"R",842,"R",410,"R",49,"R",171,"Z",0,"R",171,"R",79,"R",46
220464,"R",41,"R",62,"R",66,"R",46,"R",0,"R",46,"R",42,"R",91,"R",5,"R",0,"R",5,"R",3,"R",60
220473,"R",118,"R",159,"R",74,"R",166,"R",0,"R",166,"R",112,"R",67,"R",0,"R",0,"R",0,"R",0,"A",
220491,"A",,"A",,"A",,"R",162,"Z",0,"R",162,"R",154,"R",95,"R",51,"Z",0,"R",51,"R",50,"R",98
220516,"R",184,"R",618,"R",30,"R",183,"R",1,"R",182,"R",127,"R",70,"R",1,"R",0,"R",1,"R",1,"R",100
220552,"R",45,"R",45,"R",100,"R",46,"R",0,"R",46,"R",16,"R",35,"Z",0,"Z",0,"Z",0,"Z",0,"A",
220589,"R",204,"R",301,"R",68,"R",172,"R",0,"R",172,"R",103,"R",60,"R",0,"R",0,"R",0,"R",0,"A",
220598,"R",624,"R",745,"R",84,"R",597,"Z",0,"R",597,"R",367,"R",61,"R",5,"Z",0,"R",5,"R",5,"R",100
220604,"R",90,"R",179,"R",50,"R",71,"R",0,"R",71,"R",34,"R",48,"R",11,"R",0,"R",11,"R",6,"R",55
220613,"R",848,"R",1242,"R",68,"R",785,"R",0,"R",785,"R",573,"R",73,"R",7,"R",0,"R",7,"R",2,"R",29
220631,"R",256,"R",481,"R",53,"R",244,"R",0,"R",244,"R",158,"R",65,"R",5,"R",0,"R",5,"R",2,"R",40
220640,"A",,"A",,"A",,"R",140,"R",1,"R",139,"R",132,"R",95,"R",4,"Z",0,"R",4,"R",3,"R",75
220701,"R",205,"C",272,"C",75,"R",215,"R",0,"R",215,"R",193,"R",90,"R",29,"R",0,"R",29,"R",25,"R",86
220710,"R",297,"R",345,"R",86,"R",317,"R",0,"R",317,"R",212,"R",67,"Z",0,"Z",0,"Z",0,"Z",0,"A",
220747,"A",,"A",,"A",,"R",58,"R",0,"R",58,"R",34,"R",59,"R",86,"R",0,"R",86,"R",28,"R",33
220756,"A",,"A",,"A",,"R",156,"Z",0,"R",156,"R",123,"R",79,"R",37,"Z",0,"R",37,"R",20,"R",54
220765,"A",,"A",,"A",,"R",29,"R",0,"R",29,"R",28,"R",97,"R",0,"R",0,"R",0,"R",0,"A",
220808,"R",101,"R",135,"R",75,"R",73,"R",0,"R",73,"R",48,"R",66,"R",1,"Z",0,"R",1,"R",1,"R",100
220853,"A",,"A",,"A",,"R",420,"R",4,"R",416,"R",416,"R",100,"R",35,"R",1,"R",34,"R",34,"R",100
220862,"R",1981,"R",3413,"R",58,"R",1990,"Z",0,"R",1990,"R",1487,"R",75,"R",88,"Z",0,"R",88,"R",54,"R",61
220941,"R",91,"R",335,"R",27,"R",111,"Z",0,"R",111,"R",52,"R",47,"R",23,"Z",0,"R",23,"R",7,"R",30
220978,"R",3444,"R",5504,"R",63,"R",3510,"Z",0,"R",3510,"R",2486,"R",71,"R",154,"Z",0,"R",154,"R",98,"R",64
221014,"R",200,"R",310,"R",65,"R",197,"Z",0,"R",197,"R",140,"R",71,"R",0,"Z",0,"R",0,"R",0,"A",
221050,"A",,"A",,"A",,"R",146,"R",3,"R",143,"R",114,"R",80,"R",51,"R",1,"R",50,"R",37,"R",74
221096,"R",956,"R",1584,"R",60,"R",889,"R",0,"R",889,"R",444,"R",50,"R",187,"R",0,"R",187,"R",76,"R",41
221102,"A",,"A",,"A",,"R",175,"R",0,"R",175,"R",141,"R",81,"R",25,"R",0,"R",25,"R",19,"R",76
221148,"A",,"A",,"A",,"R",663,"R",1,"R",662,"R",482,"R",73,"R",0,"R",0,"R",0,"R",0,"A",
221184,"R",728,"R",2216,"R",33,"R",617,"R",0,"R",617,"R",305,"R",49,"R",441,"R",0,"R",441,"R",202,"R",46
221236,"A",,"A",,"A",,"R",50,"R",0,"R",50,"R",39,"R",78,"R",41,"R",0,"R",41,"R",27,"R",66
221254,"R",53,"R",147,"R",36,"R",42,"R",0,"R",42,"R",31,"R",74,"R",12,"R",0,"R",12,"R",8,"R",67
221281,"A",,"A",,"A",,"R",289,"R",5,"R",284,"R",233,"R",82,"R",29,"R",0,"R",29,"R",26,"R",90
221290,"A",,"A",,"A",,"R",43,"R",0,"R",43,"R",40,"R",93,"R",13,"R",0,"R",13,"R",10,"R",77
