UNITID,includeConference,includeCharacter,includeReason
208488,,"20,122,011,201,020,000,000",C
208646,,"20,122,011,201,020,000,000",C
208822,,"20,122,011,201,020,000,000",C
209065,,"20,122,011,201,020,000,000",C
209287,,"20,122,011,201,020,000,000",C
209409,,"20,122,011,201,020,000,000",C
209506,,"20,122,011,201,020,000,000",C
209542,Conference,"20,122,011,201,020,000,000",B
209551,Conference,"20,122,011,201,020,000,000",B
209612,,"20,122,011,201,020,000,000",C
209807,,"20,122,011,201,020,000,000",C
209825,,"20,122,011,201,020,000,000",C
209922,,"20,122,011,201,020,000,000",C
210146,,"20,122,011,201,020,000,000",C
210331,,"20,122,011,201,020,000,000",C
210401,,"20,122,011,201,020,000,000",C
210429,,"20,122,011,201,020,000,000",C
210492,,"20,122,011,201,020,000,000",C
210571,,2008,C
210669,,"20,122,011,201,020,000,000",C
210739,,"20,122,011,201,020,000,000",C
210775,,"20,122,011,201,020,000,000",C
211024,,"20,122,011,201,020,000,000",C
211088,,"20,122,011,201,020,000,000",C
211158,,"20,122,011,201,020,000,000",C
211273,,"20,122,011,201,020,000,000",C
211291,,"20,122,011,201,020,000,000",C
211352,,"20,122,011,201,020,000,000",C
211361,,"20,122,011,201,020,000,000",C
211431,,"20,122,011,201,020,000,000",C
211440,,"20,122,011,201,020,000,000",C
211468,,"20,122,011,201,020,000,000",C
211583,,"20,122,011,201,020,000,000",C
211644,,"20,122,011,201,020,000,000",C
211981,,"20,122,011,201,020,000,000",C
212054,,"20,122,011,201,020,000,000",C
212106,,"20,122,011,201,020,000,000",C
212115,,"20,122,011,201,020,000,000",C
212133,,"20,122,011,201,020,000,000",C
212160,,"20,122,011,201,020,000,000",C
212197,,"20,122,011,201,020,000,000",C
212601,,"20,122,011,201,020,000,000",C
212656,,"20,122,011,201,020,000,000",C
212911,,"20,122,011,201,020,000,000",C
212984,,"20,122,011,201,020,000,000",C
213011,,"20,122,011,201,020,000,000",C
213020,,"20,122,011,201,020,000,000",C
213349,,"20,122,011,201,020,000,000",C
213358,,"20,122,011,201,020,000,000",C
213367,,"20,122,011,201,020,000,000",C
213385,,"20,122,011,201,020,000,000",C
213400,,"20,122,011,201,020,000,000",C
213543,,"20,122,011,201,020,000,000",C
213598,,"20,122,011,201,020,000,000",C
213613,,"20,122,011,201,020,000,000",C
213668,,"20,092,008",C
213783,,"20,122,011,201,020,000,000",C
213826,,"20,122,011,201,020,000,000",C
213987,,"20,122,011,201,020,000,000",C
213996,,"20,122,011,201,020,000,000",C
214041,,"20,122,011,201,020,000,000",C
214069,,"20,122,011,201,020,000,000",C
214148,,"20,122,011,201,020,000,000",C
214157,,"201,020,092,008",C
214166,,"20,122,011,201,020,000,000",C
214272,,"20,122,011,201,020,000,000",C
214591,,"20,122,011,201,020,000,000",C
214625,,"20,122,011,201,020,000,000",C
214634,,"20,122,011,201,020,000,000",C
214643,,"20,122,011,201,020,000,000",C
214652,,"20,122,011,201,020,000,000",C
214670,,"20,122,011,201,020,000,000",C
214689,,"20,122,011,201,020,000,000",C
214698,,"20,122,011,201,020,000,000",C
214704,,"20,122,011,201,020,000,000",C
214713,,"20,122,011,201,020,000,000",C
214731,,"20,122,011,201,020,000,000",C
214740,,"20,122,011,201,020,000,000",C
214759,,"20,122,011,201,020,000,000",C
214768,,"20,122,011,201,020,000,000",C
214777,Conference,"20,122,011,201,020,000,000",B
214786,,"20,122,011,201,020,000,000",C
214795,,"20,122,011,201,020,000,000",C
214801,,"20,122,011,201,020,000,000",C
214810,,"20,122,011,201,020,000,000",C
214829,,"20,122,011,201,020,000,000",C
215062,Conference,"20,122,011,201,020,000,000",B
215099,,"20,122,011,201,020,000,000",C
215105,,"20,122,011,201,020,000,000",C
215114,,"20,122,011,201,020,000,000",C
215132,,"20,122,011,201,020,000,000",C
215266,,"20,122,011,201,020,000,000",C
215275,,"20,122,011,201,020,000,000",C
215284,,"20,122,011,201,020,000,000",C
215293,Conference,"20,122,011,201,020,000,000",B
215442,,"20,122,011,201,020,000,000",C
215655,,"20,122,011,201,020,000,000",C
215691,,"20,122,011,201,020,000,000",C
215743,,"20,122,011,201,020,000,000",C
215770,,"20,122,011,201,020,000,000",C
215798,,"20,122,011,201,020,000,000",C
215929,,"20,122,011,201,020,000,000",C
216010,,"20,122,011,201,020,000,000",C
216038,,"20,122,011,201,020,000,000",C
216287,,"20,122,011,201,020,000,000",C
