UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4NC200,L4NC200,XL4GR200,L4GR200 
110495,"R",550,"R",0,"R",550,"R",116,"R",21,"R",289,"R",53,"Z",0,"R",550,"R",34,"R",323,"R",59,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110510,"R",1161,"R",0,"R",1161,"R",142,"R",12,"R",507,"R",44,"Z",0,"R",1161,"R",63,"R",570,"R",49,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110529,"R",2674,"R",0,"R",2674,"R",345,"R",13,"R",1347,"R",50,"Z",0,"R",2674,"R",211,"R",1558,"R",58,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110538,"R",1995,"R",0,"R",1995,"R",372,"R",19,"R",1111,"R",56,"Z",0,"R",1995,"R",97,"R",1208,"R",61,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110547,"R",630,"R",0,"R",630,"R",28,"R",4,"R",214,"R",34,"Z",0,"R",630,"R",41,"R",255,"R",40,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110556,"R",2189,"R",0,"R",2189,"R",346,"R",16,"R",1051,"R",48,"Z",0,"R",2189,"R",163,"R",1214,"R",55,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110565,"R",3291,"R",0,"R",3291,"R",481,"R",15,"R",1614,"R",49,"Z",0,"R",3291,"R",245,"R",1859,"R",56,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110574,"R",746,"R",0,"R",746,"R",119,"R",16,"R",331,"R",44,"Z",0,"R",746,"R",36,"R",367,"R",49,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110583,"R",2912,"R",0,"R",2912,"R",365,"R",13,"R",1611,"R",55,"Z",0,"R",2912,"R",271,"R",1882,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110592,"R",1404,"R",0,"R",1404,"R",116,"R",8,"R",429,"R",31,"Z",0,"R",1404,"R",123,"R",552,"R",39,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
